company,website,relationship,competitorType,deliveryModel,threatLevel,sovereignModelCoverage,status,verified,lastCheckedAt,newsUrl,arabicDepthNotes,menaLocalizationNotes,executionScope,proofNotes,reviewSources,reviewSummary,arrEstimate,entryPrice,pricingModel,positioningClaim,competitiveVerdict,featuresNotes,notes,dialects,platformsCovered,labels,radarArabicCitation,radarContentDepth,radarDialectCoverage,radarSovereignModels,radarSurfaceCoverage,radarTechnicalGeo,radarAdoptionAccess,radarProvenOutcomes,radarScoredAt,date_entered,date_modified
Ahrefs Brand Radar,,,,,,,Operational,,"Aug 17, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterly,,,,,,,Operational,,"Aug 17, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AthenaHQ,,,,,,,Operational,,"Aug 17, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrunch,,,,,,,,,"Aug 17, 2026",https://www.tipranks.com/news/private-companies/scrunch-ai-advances-ai-native-web-strategy-with-sitecore-integration-and-new-enterprise-tools,,,,,,,,,,,,"Post-acquisition product wave (announced 13 Jun 2026, coverage updated 14 Aug 2026): a redesigned site serving a separate agent-optimised lightweight-HTML experience alongside the human one; expanded Content Gaps that convert insights into structured briefs; Scrunch MCP, a connector for querying AI-visibility metrics and triggering actions conversationally; and Knowledge Studio in beta, connecting Notion, SharePoint and uploaded files.",Runs as a standalone platform inside Sitecore. No pricing change found - $250/mo annual Starter is still the published entry - and no new engines or certifications announced.,,,,,,,,,,,,,,
SalesTrig,https://salestrig.com,,MENA/Regional,Self-serve SaaS,High,No,Operational,Yes,"Aug 17, 2026",https://salestrig.com/pricing,"~86 Arabic articles plus a full Arabic site at /ar; content is largely programmatic city x service templates. Explicit dialect commitment in the product spec: ""Arabic dialects (Gulf/Saudi/Emirati) + local grounding & 97+ languages"", and ""writes in Arabic including Gulf and Saudi dialects"". No mention of Jais, Falcon, ALLaM or Fanar on any page checked.","Positions as an ""AI Growth Suite for GCC"", targeting Riyadh, Jeddah, Abu Dhabi and Dubai. Arabic site at salestrig.com/ar with a contact-form budget band of $2,500-$10,000+/mo. Publishes its own ""Best AI Visibility Tools for GCC & Arabic Businesses"" comparison arguing English-first tools fail Arabic.",Monitoring + Execution,"Named customers claimed on the homepage: Bloomingdale's UAE, Mamas & Papas, GAP, Gymshark, Ounass, SSSports.com, Dental Studio, Dr Joy. No measured AI-citation result published for any of them.",,"No third-party review profile found (G2, Capterra, Clutch) as of 17 Aug 2026.",,"AI Visibility $59/mo (per its own GCC comparison page); AutoSEO $99/mo on annual billing, $149/mo monthly.","Published product-line pricing: AutoSEO $149/mo or $99/mo annual ($1,188/yr); AdPilot Audit $250/mo; AI Media Buyer $500/mo; AI Visibility listed at $59/mo on the GCC comparison page (no tier shown on the main pricing page).","Get found and chosen - on Google, social, ads, and AI.","The closest direct Arabic-first rival with both a shipped price list and a named dialect commitment. Was a no-footprint landing page at baseline; now names a CEO, customers and prices. Still no funding record and no third-party reviews, so claimed scale is unverified.",,"Team now named: Fahad Siddiqui (CEO & Founder), Himanshu Sharma (Head of Growth), Rifsha (Head of Design & Marketing). No funding record found. Promoted from watchlist to directory 17 Aug 2026 on published pricing plus named team and customers.",MSA; Gulf; Saudi; Emirati,ChatGPT; Gemini; Perplexity; Google AI Overviews,MENA; GCC; Arabic-first; Self-serve,,5,7,0,5,4,7,0,"Aug 17, 2026",,
Presenc AI,https://presenc.ai,,MENA/Regional,Self-serve SaaS,Medium,No,Operational,Yes,"Aug 17, 2026",https://presenc.ai/product,"No Arabic content of any kind. The site is fully English including the UAE vertical page (presenc.ai/uae). Fails Arabic localisation outright. No mention of Jais, Falcon, ALLaM or Fanar.","UAE/MENA vertical landing pages in English only. Cleveland Clinic Abu Dhabi, Talabat and Deliveroo appear as illustrative examples, not as clients.",Monitoring only,"Claims ""~30 brands running today"" on the Discovery Intelligence tier; no named customer.",,No third-party review profile found as of 17 Aug 2026.,,$49/mo Starter,Starter $49/mo; Growth $199/mo (reduced from $249); Pro $399/mo; Enterprise custom; 7-day trial.,Commercial infrastructure for the agentic web,"Prices below Peec and Profound and is the only tool in the set covering Qwen, but ships zero Arabic - the clearest example of MENA positioning without Arabic capability.",,"Member of the NVIDIA Inception Program (an affiliation, not funding). No funding record found. Promoted from watchlist to directory 17 Aug 2026 on published pricing.",,ChatGPT; Perplexity; Gemini; Claude; Grok; Qwen,MENA; UAE; Self-serve; English-only,,0,0,0,5,0,8,0,"Aug 17, 2026",,
ReachLLM,https://www.reachllm.com,,MENA/Regional,Self-serve SaaS,Low,No,Operational,Yes,"Aug 17, 2026",https://www.hub71.com/latest-news/press-release/khalifa-fund-and-hub71-announce-first-mzn-hub71-cohort-to-support-emirati-tech-founders-in-al-ain,"No Arabic content and no Arabic claim. Neither MENA, UAE, Abu Dhabi nor Hub71 appears anywhere on its own site. No mention of Jais, Falcon, ALLaM or Fanar.","Abu Dhabi company selected for the first MZN x Hub71 cohort, yet its named customers are all Western (Emporia Energy, Allied Brass, MOBOT, HirePilot). Regional credential without regional product.",Monitoring only,"Named customers Emporia Energy, Allied Brass, MOBOT and HirePilot; no measured AI-citation result published.",Product Hunt,Product Hunt 5.0 from 2 reviews; latest launch 18 Jan 2026 with 10 upvotes.,,$399/mo Pro,"Pro $399/mo (1 project, 100 prompts, 4 models); Scale $999/mo (10 projects, 500 prompts); Growth managed service from $3,500/mo; Enterprise custom; annual billing gives 2 months free.","If AI Can't Find You, You Don't Exist","State-backed Abu Dhabi credential but no Arabic product - competes on Gulf access, not Arabic capability. Lowest-risk regional rival today; highest-risk if it ever localises.",,"Selected for the first MZN x Hub71 cohort per the Khalifa Fund / Hub71 press release of 21 May 2026; no funding amount disclosed. Leadership: Sohazur Islam CEO, Shanzila Ahmed CPO, Maryam Alabbar COO - correcting the earlier record that named Alabbar as sole co-founder. Promoted from watchlist to directory 17 Aug 2026.",,ChatGPT; Google AI Overviews; Perplexity; Gemini; Claude,MENA; UAE; Hub71; Self-serve,,0,0,0,5,0,4,0,"Aug 17, 2026",,
VOCTOS,https://voctos.net,,MENA/Regional,Managed Service,High,No,Operational,Yes,"Aug 17, 2026",https://www.voctos.com/blog/best-aeo-tools/,"Deepest Arabic outcome evidence in the field. States ""Arabic AI citation in particular behaves nothing like English"". No dialect named. Names Falcon-H1 Arabic, ALLaM, Jais 2 and Fanar 2.0 only journalistically - it does not claim to optimise for them.","Egypt-founded 2017 with Gulf expansion into KSA, UAE and Jordan. Publishes the MENA GEO agency rankings and Arabic-support tool comparisons that AI engines cite - competes for the deal and for the answer.",Monitoring + Execution,"Named Arabic case studies with measured results: Delta Medical Laboratories (KSA) ""1M+ monthly organic visits and 4,300 pages cited across ChatGPT, Gemini, AI Overviews and AI Mode""; FBS ""Organic traffic is up 5X in Arabic search"". Also Al Hokail (KSA/UAE), Ovasave (UAE), Ovistone and VPN Arabi. The earlier ""2,500+ verified AI citations"" figure is gone; the current claim is 4,300 pages cited.",Clutch,"Named a 2026 Clutch Global award winner with Top Company badges across 20+ Egypt categories (announced 6 Jul 2026, updated 11 Aug 2026); star rating and review count not disclosed in the announcement.",,,"Quote-led, no figure published: ""We quote after a free audit""; monthly retainers with a 2-month setup minimum.","SEO, AEO and GEO, run by people who show their work","The benchmark to beat on Arabic proof and Arabic citation share, and now moving toward product with a free public visibility scorer. Has also publicly documented the sovereign-model whitespace, which shortens the window to claim it.","Now ships software: a public, no-signup VOCTOS AI Visibility Score running 45 automated checks (published 13 Aug 2026), plus a client portal it explicitly does not sell - ""The VOCTOS Client Portal is not software we sell. It has no licence and no price list.""","Google Premier Partner. Published on 7 Aug 2026 (updated 14 Aug) the sector's first hard audit of sovereign-Arabic coverage: ""Four state-backed Arabic language models are live and in public use: Falcon-H1 Arabic from TII in Abu Dhabi, ALLaM from SDAIA powering HUMAIN Chat in Saudi Arabia, Jais 2 from Inception and G42, and Fanar 2.0 from QCRI in Qatar"" and, cross-checked against a 33-tool inventory, ""not one AEO tool tracks any of them"". Promoted from watchlist to directory 17 Aug 2026.",,ChatGPT; Gemini; Google AI Overviews; Google AI Mode,MENA; Egypt; Arabic-first; Agency,,8,2,0,5,,2,9,"Aug 17, 2026",,
Elshorafa Co,https://elshorafa.co,,MENA/Regional,Consulting,Medium,No,Operational,Yes,"Aug 17, 2026",https://www.elshorafa.co/services/seo-geo,"Generic bilingual claim only: ""We build for both, in English and Arabic"" and ""bilingual English and Arabic capability for the Gulf"". No dialect claim and no Arabic-specific measured case study.",UAE and KSA. Strong government and sovereign-adjacent account list rather than a localisation capability claim.,Monitoring + Execution,"Named clients: Emirates Drug Establishment, Ministry of Health & Prevention, Abu Dhabi Accountability Authority, Safari Star, Flotilla Real Estate, ANG We Care, AMSI. Measured results are commercial, not AI-citation: ""90% more qualified leads for Safari Star"", ""1.7M AED in revenue from strategy"", ""up to 9x return on ad spend"". Case studies dated Mar/Jun/Sep 2025.",,No third-party review profile found as of 17 Aug 2026.,,,"Quote-led, no figure published: ""Every engagement opens with a paid diagnostic, priced on the size of the site and the number of languages. Fixed scope, fixed fee, agreed before it starts.""",,"No longer the first mover on sovereign models - the Jais 2 claim is absent from their own site. Their real edge is a government and regulator client list, not Arabic AI capability. The sovereign-model lane is still unclaimed by anyone.",,"CORRECTION TO BASELINE: the Jais 2 optimisation claim previously attributed to Elshorafa could NOT be found anywhere on its own site on 17 Aug 2026 - checked homepage, /services, /services/seo-geo, /services/ai-optimization and /blog. No Jais, Falcon, ALLaM, Fanar or ""sovereign"" anywhere. The earlier attribution came from a third party (AI Watch MENA), not from Elshorafa. Corporate activity: became a shareholder in RaviaCare 24 Jul 2026; launched the Entityz consultancy 22 Mar 2026. Promoted from watchlist to directory 17 Aug 2026.",,ChatGPT; Claude; Perplexity; Google AI Overviews,MENA; UAE; KSA; Agency; Government,,,2,0,5,,1,0,"Aug 17, 2026",,
ChatFeatured,https://chatfeatured.com,,Generic/International,Self-serve SaaS,Low,No,Operational,Yes,"Aug 17, 2026",https://www.wamda.com/2026/07/venture-partners-backs-chatfeatured-2-million-pre-seed-round,"No Arabic content and no Arabic claim anywhere on the site or in the funding coverage, despite a Gulf investor. No mention of Jais, Falcon, ALLaM or Fanar.","Toronto, Canada. Gulf-funded but not Gulf-facing; claims expansion into five countries within six months of launch, markets unnamed.",Monitoring + Execution,"Named customers: Laderach, Tramontina, Datasite, Dude Wipes, Postcode Lottery, Rootly, Adastra, Currentware, Bloks, Encore and roughly ten more. No Arabic result published.",,No third-party review profile found as of 17 Aug 2026.,,"$499/mo Business, per brand","Business $499/mo per brand (unlimited prompts, team seats and regions, daily tracking, 7-day trial); Enterprise custom, adding API access, exports, SSO/SAML and a dedicated AEO specialist.","When someone asks AI what to buy, be the answer.",Gulf-funded but not Gulf-facing: a Toronto AEO and agentic-commerce platform whose agentic-purchase angle overlaps ZaherAI's Shopify wedge more than its Arabic wedge.,,"US$2M pre-seed announced 22 Jul 2026, LED BY Storytime Capital with BY Venture Partners (UAE/Lebanon) and Garage Capital participating - correcting the earlier record that credited BY Venture Partners as lead. Founders Farris Nasr and Nithiiyan Skhanthan. Promoted from watchlist to directory 17 Aug 2026 on a confirmed, dated funding round.",,ChatGPT; Google AI; Perplexity; Copilot; Gemini; Claude; Grok,International; Canada; Gulf-backed; Self-serve,,0,0,0,7,0,3,0,"Aug 17, 2026",,
SAVIT,https://savit.ae,,MENA/Regional,Managed Service,Medium,No,Operational,Yes,"Aug 17, 2026",https://savit.ae/seo-services/generative-engine-optimization/,"Second explicit dialect commitment found anywhere in the field. Names the Khaleeji dialect directly and repeatedly: ""Dialect-aware phrasing that matches how UAE audiences actually speak"", ""voice queries default to dialect"", and content built ""with dialect-aware phrasing for how UAE buyers actually speak"". Arabic site path live at /ar/. No mention of Jais, Falcon, ALLaM or Fanar.","UAE operations run through the registered entity Astra Marketing LLC FZ with active work across Dubai and Abu Dhabi; parent is Savit Interactive Services Pvt Ltd, India. Claims 93+ staff.",Monitoring + Execution,"Named customers Open N Shut, Search Rescue, Shutter4U, Trucker, Ashbury Studios, Davies & Associates, Progressive Digital Marketing and Design Fox, with nine attributed testimonials (Varsha Bansal of Vivaan Solar, Jim Bridgen of Northern Beaches, Prakash Rathod of Ganesh Precision, Krishna Teja of Cupidcare). All SME-scale; no AI-citation metric published.",,,,,No pricing published; quote-based.,,"Breaks the assumption that only one dialect commitment exists in the field. A small India-parented Dubai agency, but it now names Khaleeji explicitly - the dialect moat is no longer uncontested.",,Discovered 17 Aug 2026. Cleared the verification bar on named customers with attributed testimonials plus a named UAE registered entity. No funding record and no third-party review profile found.,MSA; Khaleeji,ChatGPT; OpenAI Search; Gemini; Perplexity; Claude; Microsoft Copilot; Grok,MENA; UAE; Agency; Dialect-aware,,,4,0,7,,1,0,"Aug 17, 2026",,
The iBoost,https://theiboost.com,,MENA/Regional,Managed Service,Low,No,Operational,Yes,"Aug 17, 2026",https://theiboost.com/,"Arabic site path live (/ar/). GEO is listed as a service line but the page offers no technical detail, no dialect claim and no Arabic case study. No mention of Jais, Falcon, ALLaM or Fanar.","HQ Waterfront City, Dbayeh, Lebanon; Dubai office at IFZA Business Park, Dubai Digital Park; further offices listed in Riyadh, Beirut, London, USA and Canada.",Monitoring + Execution,"50+ named client logos including Qatar Islamic Bank, Gulf Air, Omantel, Aramex, Cleveland Clinic Abu Dhabi, BMW, L'Oreal Paris, Samsung, Marriott Hotels, Accor Hotels and UNHCR. No GEO or AI-citation result published for any of them.",,,,,No pricing published.,,Enterprise-logo access across the Gulf paired with only a nominal GEO offering - a distribution threat rather than a capability threat.,,"Discovered 17 Aug 2026. Cleared the verification bar on named enterprise customers plus a physical multi-country office list. Full-service digital agency with GEO as one line item, not a GEO specialist. No team members named, no funding record, no third-party review profile found.",,ChatGPT; Gemini; Claude; Microsoft Copilot; Perplexity,MENA; Lebanon; UAE; KSA; Agency,,,0,0,5,,1,0,"Aug 17, 2026",,
Sorank,https://www.sorank.com,,Generic/International,Self-serve SaaS,Low,No,Operational,Yes,"Aug 17, 2026",https://www.sorank.com/ar/glossary-geo-seo/brand-monitoring,"Ships a full Arabic-language interface and an Arabic GEO/SEO glossary at /ar/ - the only international tool found this run with a real Arabic product surface (Semrush, Profound, Ahrefs and Otterly all lack one). No dialect claim, no Arabic case study, no mention of Jais, Falcon, ALLaM or Fanar.","No MENA office or market claim; the Arabic surface is a UI localisation, not a regional go-to-market.",Monitoring only,,,,,,No pricing found on the page retrieved.,,"Small, but the first international tool observed shipping an Arabic UI - evidence that the localisation gap ZaherAI counts on among international rivals is not permanent.",,"Discovered 17 Aug 2026. Legal entity Stone Rank Kft. (Hungary); founder Thibault Besson-Magdelain named; claims 9,000+ subscribers. Cleared the verification bar on a named founder plus a registered entity plus a working Arabic-localised product surface. No named customers and no funding record found.",,ChatGPT; Perplexity; Gemini,International; Hungary; Self-serve; Arabic-UI,,4,2,0,4,5,,0,"Aug 17, 2026",,
Hikmah AI,https://www.hikmahaiagency.com,,MENA/Regional,Managed Service,Low,No,Operational,No,"Aug 17, 2026",https://www.hikmahaiagency.com/blog/answer-engine-optimization-saudi-arabia-2026,"Bilingual ""Arabic + English"" framing with a Saudi-Arabic-first angle; no dialect granularity and no Arabic case study. No mention of Jais, Falcon, ALLaM or Fanar.","Dubai, UAE - In5 Tech, Dubai Internet City; Shams Licence 2646422.01. Publishes Saudi-market AEO content.",Monitoring + Execution,,,,,,No pricing published.,,Thinly evidenced new entrant; logged for tracking rather than as a live threat.,,"Discovered 17 Aug 2026. Cleared the bar only on a named founder (Suryansh Jaiswal, who leads the AEO practice) plus a published trade-licence number. No named customers, no pricing, no funding and no third-party reviews - marked unverified pending corroboration.",,ChatGPT; Perplexity; Gemini; Claude; Microsoft Copilot,MENA; UAE; Agency; Unverified,,,2,0,5,,,0,"Aug 17, 2026",,
